ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030490	GO:0030490	maturation of SSU-rRNA	67/692	116/5607	3.36667914119288e-32	4.51135004919846e-30	4.14633115283755e-30	YBL004W/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YDL060W/YDL083C/YDL148C/YDL153C/YDR025W/YDR064W/YDR450W/YEL026W/YER074W/YER102W/YFR001W/YGL120C/YGL171W/YGR103W/YGR118W/YGR128C/YGR145W/YGR214W/YGR251W/YHL015W/YHR021C/YIL019W/YIL069C/YJL010C/YJL109C/YJL136C/YKL078W/YKL099C/YKL156W/YKR057W/YLR048W/YLR129W/YLR167W/YLR186W/YLR264W/YLR441C/YML026C/YML063W/YML093W/YMR128W/YMR143W/YMR229C/YMR290C/YNL132W/YNL308C/YNR054C/YOL022C/YOR004W/YOR056C/YOR167C/YOR310C/YPL012W/YPL090C/YPL126W/YPL217C/YPL266W/YPR112C/YPR132W	67
GO:0000462	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	62/692	104/5607	6.11416916223042e-31	7.51023778760637e-29	6.90257518578119e-29	YBL004W/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YDL060W/YDL083C/YDL148C/YDL153C/YDR025W/YDR064W/YDR450W/YEL026W/YER074W/YER102W/YFR001W/YGL120C/YGL171W/YGR103W/YGR118W/YGR128C/YGR145W/YGR214W/YGR251W/YHL015W/YHR021C/YIL019W/YIL069C/YJL010C/YJL109C/YJL136C/YKL078W/YKL099C/YKL156W/YKR057W/YLR048W/YLR129W/YLR186W/YLR441C/YML026C/YML063W/YML093W/YMR128W/YMR143W/YMR229C/YMR290C/YNL308C/YNR054C/YOR004W/YOR056C/YOR310C/YPL012W/YPL090C/YPL126W/YPL217C/YPL266W/YPR112C/YPR132W	62
GO:0042255	GO:0042255	ribosome assembly	51/692	79/5607	5.65957211292237e-28	6.41708407265199e-26	5.89786988609805e-26	YBR048W/YCR031C/YCR057C/YDR025W/YDR060W/YDR418W/YDR447C/YEL054C/YEL055C/YER131W/YGL031C/YGL099W/YGL189C/YGR085C/YGR148C/YGR214W/YHR021C/YHR197W/YIL148W/YIR026C/YJR123W/YKL156W/YKR081C/YKR094C/YLL008W/YLR048W/YLR075W/YLR106C/YLR167W/YLR221C/YLR264W/YLR340W/YLR448W/YML024W/YML073C/YMR229C/YMR230W/YNL302C/YNR054C/YOL040C/YOL077C/YOL121C/YOL127W/YOR063W/YOR167C/YOR293W/YPL131W/YPL211W/YPR016C/YPR102C/YPR112C	51
GO:0000460	GO:0000460	maturation of 5.8S rRNA	48/692	91/5607	5.61606258240134e-21	5.51871749763972e-19	5.07219125863195e-19	YBL004W/YCL059C/YCR047C/YCR057C/YDL031W/YDL148C/YDL153C/YDR450W/YDR500C/YFR001W/YGL078C/YGL120C/YGL171W/YGR103W/YGR158C/YGR214W/YGR251W/YHR081W/YHR088W/YJL010C/YJL050W/YJL109C/YJL136C/YJL177W/YKL014C/YKL099C/YKL180W/YKR057W/YKR081C/YLR048W/YLR129W/YLR185W/YLR186W/YLR293C/YML026C/YML093W/YMR049C/YMR229C/YNL002C/YNL308C/YNR054C/YOL077C/YOR001W/YOR004W/YOR272W/YOR310C/YPR016C/YPR112C	48
GO:0000466	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	48/692	91/5607	5.61606258240134e-21	5.51871749763972e-19	5.07219125863195e-19	YBL004W/YCL059C/YCR047C/YCR057C/YDL031W/YDL148C/YDL153C/YDR450W/YDR500C/YFR001W/YGL078C/YGL120C/YGL171W/YGR103W/YGR158C/YGR214W/YGR251W/YHR081W/YHR088W/YJL010C/YJL050W/YJL109C/YJL136C/YJL177W/YKL014C/YKL099C/YKL180W/YKR057W/YKR081C/YLR048W/YLR129W/YLR185W/YLR186W/YLR293C/YML026C/YML093W/YMR049C/YMR229C/YNL002C/YNL308C/YNR054C/YOL077C/YOR001W/YOR004W/YOR272W/YOR310C/YPR016C/YPR112C	48
GO:0000479	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	36/692	58/5607	3.32953529888489e-19	3.06733439409771e-17	2.81915258530583e-17	YBL004W/YCL059C/YCR047C/YCR057C/YDL060W/YDL148C/YDL153C/YDR450W/YDR500C/YFR001W/YGL078C/YGL171W/YGR214W/YGR251W/YHR021C/YJL010C/YJL109C/YJL136C/YJL177W/YKL099C/YKL180W/YKR057W/YLR048W/YLR129W/YLR185W/YLR186W/YML026C/YML093W/YMR229C/YNL308C/YNR054C/YOL077C/YOR004W/YOR310C/YPL217C/YPR112C	36
GO:0009123	GO:0009123	nucleoside monophosphate metabolic process	32/692	50/5607	8.89790371308966e-18	7.71500592534951e-16	7.09077528095752e-16	YAR015W/YBR242W/YBR252W/YDR020C/YDR226W/YDR399W/YDR408C/YDR454C/YGL101W/YGL234W/YGR061C/YHL011C/YHR128W/YHR144C/YHR216W/YJL130C/YJR105W/YKL181W/YKL216W/YLR359W/YLR420W/YLR432W/YML022W/YML056C/YML106W/YMR120C/YMR217W/YMR300C/YNL141W/YNL220W/YNR012W/YOR074C	32
GO:0071826	GO:0071826	protein-RNA complex organization	66/692	181/5607	1.66236591128893e-17	1.32644172745844e-15	1.21911769137971e-15	YBR048W/YBR079C/YCR031C/YCR057C/YDL031W/YDR025W/YDR060W/YDR418W/YDR447C/YEL054C/YEL055C/YER025W/YGL031C/YGL099W/YGL120C/YGR085C/YGR148C/YGR162W/YGR214W/YHR021C/YHR197W/YIL148W/YIR026C/YJL138C/YJR123W/YKL156W/YKR059W/YKR081C/YKR094C/YLL008W/YLR048W/YLR075W/YLR106C/YLR167W/YLR221C/YLR264W/YLR325C/YLR340W/YLR448W/YML024W/YML073C/YMR146C/YMR229C/YMR230W/YMR260C/YNL061W/YNL175C/YNL302C/YNR054C/YOL040C/YOL077C/YOL121C/YOL127W/YOL139C/YOR063W/YOR167C/YOR272W/YOR293W/YOR361C/YPL131W/YPL211W/YPL237W/YPR016C/YPR102C/YPR112C/YPR163C	66
GO:0140694	GO:0140694	non-membrane-bounded organelle assembly	61/692	159/5607	1.70979598519066e-17	1.32644172745844e-15	1.21911769137971e-15	YBR048W/YCL024W/YCR031C/YCR057C/YDR025W/YDR060W/YDR361C/YDR418W/YDR447C/YEL054C/YEL055C/YER131W/YGL008C/YGL031C/YGL099W/YGL189C/YGR085C/YGR140W/YGR148C/YGR162W/YGR214W/YHR021C/YHR172W/YHR197W/YIL148W/YIR026C/YJR123W/YKL156W/YKR081C/YKR094C/YLL008W/YLR048W/YLR075W/YLR106C/YLR167W/YLR221C/YLR264W/YLR340W/YLR448W/YML024W/YML073C/YMR001C/YMR229C/YMR230W/YNL126W/YNL302C/YNR054C/YOL040C/YOL077C/YOL121C/YOL127W/YOR063W/YOR167C/YOR276W/YOR293W/YPL131W/YPL211W/YPR016C/YPR102C/YPR112C/YPR119W	61
GO:0009124	GO:0009124	nucleoside monophosphate biosynthetic process	28/692	40/5607	2.87309484422783e-17	2.11747090019591e-15	1.94614371816906e-15	YAR015W/YBR252W/YDR020C/YDR399W/YDR408C/YGL234W/YGR061C/YHL011C/YHR128W/YHR144C/YHR216W/YJL130C/YJR105W/YKL181W/YKL216W/YLR359W/YLR420W/YLR432W/YML022W/YML056C/YML106W/YMR120C/YMR217W/YMR300C/YNL141W/YNL220W/YNR012W/YOR074C	28
