ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030163	GO:0030163	protein catabolic process	57/571	287/5607	3.38115060300256e-07	3.70283850843856e-05	3.30160213755513e-05	YAL005C/YBL022C/YBL075C/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR280C/YCL044C/YDL097C/YDL126C/YDL147W/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YEL060C/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR023W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YJL048C/YLL039C/YLR024C/YML088W/YMR067C/YMR174C/YMR184W/YMR304W/YNL155W/YOL038W/YOL082W/YOR003W/YOR007C/YOR261C/YOR362C/YPL052W/YPL154C/YPR108W/YPR151C	57
GO:0044092	GO:0044092	negative regulation of molecular function	27/571	94/5607	3.40983603243656e-07	3.70283850843856e-05	3.30160213755513e-05	YBR170C/YBR214W/YCR021C/YDL126C/YDL130W-A/YDL181W/YDR014W-A/YER179W/YFR003C/YFR017C/YGR048W/YHR071W/YHR138C/YIL033C/YIL113W/YIR025W/YKL117W/YKL193C/YLR178C/YMR174C/YMR311C/YNL015W/YNL250W/YOR027W/YOR173W/YPL052W/YPR007C	27
GO:0062197	GO:0062197	cellular response to chemical stress	38/571	160/5607	3.56935334869937e-07	3.70283850843856e-05	3.30160213755513e-05	YAL005C/YAL028W/YAL053W/YBL022C/YBL064C/YBR006W/YBR024W/YBR046C/YBR072W/YBR126C/YCL026C-B/YCL035C/YCR021C/YCR083W/YDL124W/YDR453C/YDR513W/YDR533C/YFL014W/YGR023W/YGR043C/YGR097W/YHR008C/YHR104W/YIL101C/YJR096W/YKL026C/YKL086W/YKL103C/YKL150W/YLL026W/YML007W/YMR250W/YOL052C-A/YOL081W/YOR120W/YOR351C/YPL196W	38
GO:0005996	GO:0005996	monosaccharide metabolic process	24/571	78/5607	3.81174552339264e-07	3.70283850843856e-05	3.30160213755513e-05	YBR018C/YBR019C/YBR053C/YBR105C/YCL040W/YCR036W/YDR009W/YEL012W/YFR053C/YGL062W/YGL156W/YGR066C/YHR104W/YIL097W/YIL107C/YJL052W/YJL089W/YJL155C/YJR096W/YKR097W/YLR070C/YLR345W/YMR105C/YOR120W	24
GO:0070887	GO:0070887	cellular response to chemical stimulus	71/571	397/5607	8.24673610738091e-07	7.47704073735869e-05	6.66683508470373e-05	YAL005C/YAL028W/YAL053W/YBL022C/YBL064C/YBL075C/YBR006W/YBR024W/YBR046C/YBR072W/YBR126C/YBR170C/YCL026C-B/YCL035C/YCR021C/YCR083W/YCR091W/YDL124W/YDL126C/YDR001C/YDR009W/YDR453C/YDR513W/YDR533C/YER103W/YFL014W/YFL044C/YFL053W/YGL248W/YGR008C/YGR023W/YGR043C/YGR048W/YGR088W/YGR097W/YHR008C/YHR030C/YHR104W/YIL101C/YIL160C/YIR038C/YJL034W/YJL089W/YJR096W/YKL026C/YKL086W/YKL103C/YKL150W/YKL178C/YKR076W/YLL026W/YLR024C/YLR259C/YLR299W/YML007W/YML070W/YML088W/YMR175W/YMR250W/YMR280C/YNL155W/YNL305C/YNL335W/YOL052C-A/YOL081W/YOR052C/YOR120W/YOR351C/YPL196W/YPL230W/YPR026W	71
GO:0006089	GO:0006089	lactate metabolic process	8/571	11/5607	1.37928918770497e-06	0.000110343135016397	9.83864485595122e-05	YDR272W/YDR533C/YEL071W/YML004C/YML054C/YOR040W/YOR391C/YPL280W	8
GO:0046185	GO:0046185	aldehyde catabolic process	8/571	11/5607	1.37928918770497e-06	0.000110343135016397	9.83864485595122e-05	YDR272W/YDR533C/YML004C/YMR110C/YNL274C/YOR040W/YOR391C/YPL280W	8
GO:0051603	GO:0051603	proteolysis involved in protein catabolic process	52/571	264/5607	1.49375485276804e-06	0.000112861477764697	0.000100631905870689	YAL005C/YBL022C/YBL075C/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR280C/YCL044C/YDL097C/YDL126C/YDL147W/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YJL048C/YLL039C/YLR024C/YML088W/YMR067C/YMR184W/YMR304W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPL052W/YPL154C/YPR108W	52
GO:0019941	GO:0019941	modification-dependent protein catabolic process	48/571	239/5607	2.17367661420458e-06	0.000141171472655267	0.00012587425425609	YAL005C/YBL022C/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR280C/YDL097C/YDL126C/YDL147W/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YJL048C/YLL039C/YLR024C/YML088W/YMR067C/YMR184W/YMR304W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPR108W	48
GO:0043161	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	35/571	152/5607	2.26237359105108e-06	0.000141171472655267	0.00012587425425609	YAL005C/YBR105C/YBR169C/YBR170C/YBR280C/YDL126C/YDL147W/YDR330W/YDR363W-A/YEL012W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YLR024C/YML088W/YMR067C/YMR184W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPR108W	35
