ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034470	GO:0034470	ncRNA processing	161/1263	480/6424	5.68634377144483e-14	8.68976716345342e-12	7.6507170743076e-12	YAL033W/YBL004W/YBL018C/YBL024W/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YCR087C-A/YDL014W/YDL031W/YDL051W/YDL060W/YDL083C/YDL112W/YDL136W/YDL148C/YDL153C/YDL191W/YDL201W/YDL208W/YDL213C/YDL229W/YDR025W/YDR064W/YDR083W/YDR087C/YDR091C/YDR120C/YDR165W/YDR412W/YDR450W/YDR500C/YEL026W/YEL055C/YER006W/YER074W/YER102W/YER131W/YFR001W/YGL030W/YGL076C/YGL078C/YGL120C/YGL123W/YGL135W/YGL171W/YGL189C/YGR103W/YGR118W/YGR128C/YGR145W/YGR158C/YGR200C/YGR214W/YGR251W/YGR280C/YGR285C/YHL015W/YHL033C/YHR021C/YHR062C/YHR064C/YHR070W/YHR072W-A/YHR081W/YHR087W/YHR088W/YHR089C/YHR197W/YIL008W/YIL019W/YIL069C/YIL096C/YJL010C/YJL033W/YJL050W/YJL109C/YJL136C/YJL177W/YJR041C/YKL014C/YKL078W/YKL099C/YKL156W/YKL172W/YKL180W/YKR057W/YKR081C/YLL008W/YLL045C/YLR002C/YLR048W/YLR106C/YLR129W/YLR132C/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR264W/YLR276C/YLR293C/YLR384C/YLR409C/YLR441C/YML026C/YML063W/YML093W/YMR049C/YMR128W/YMR143W/YMR229C/YMR259C/YMR290C/YMR312W/YNL002C/YNL061W/YNL062C/YNL075W/YNL096C/YNL132W/YNL209W/YNL308C/YNR054C/YOL022C/YOL077C/YOL125W/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR167C/YOR226C/YOR243C/YOR272W/YOR310C/YOR335C/YPL012W/YPL043W/YPL082C/YPL086C/YPL090C/YPL126W/YPL183C/YPL198W/YPL207W/YPL211W/YPL217C/YPL220W/YPL266W/YPR016C/YPR112C/YPR132W	161
GO:0043436	GO:0043436	oxoacid metabolic process	147/1263	430/6424	1.46414861835169e-13	2.05102818954099e-11	1.80578329596708e-11	YAL054C/YAL062W/YBL039C/YBL076C/YBL098W/YBR006W/YBR026C/YBR053C/YBR084W/YBR093C/YBR121C/YBR249C/YBR263W/YCL030C/YCL040W/YCL064C/YCR005C/YCR034W/YCR053W/YDL021W/YDL171C/YDR023W/YDR037W/YDR089W/YDR111C/YDR158W/YDR234W/YDR272W/YDR300C/YDR321W/YDR341C/YDR380W/YDR502C/YDR516C/YDR533C/YEL009C/YEL071W/YER024W/YER055C/YER073W/YER086W/YER091C/YFL022C/YFL030W/YFR053C/YFR055W/YGL009C/YGL010W/YGL055W/YGL062W/YGL148W/YGL184C/YGL202W/YGL205W/YGL245W/YGL253W/YGR019W/YGR061C/YGR087C/YGR094W/YGR124W/YGR155W/YGR254W/YGR256W/YGR264C/YGR286C/YHR019C/YHR020W/YHR025W/YHR112C/YHR137W/YHR208W/YIL078W/YIL094C/YIL101C/YIL160C/YJL052W/YJL088W/YJL130C/YJL198W/YJL200C/YJR016C/YJR078W/YJR148W/YKL015W/YKL029C/YKL085W/YKL182W/YKL218C/YKR009C/YLL062C/YLR142W/YLR153C/YLR180W/YLR345W/YLR355C/YLR372W/YLR438W/YML004C/YML042W/YML054C/YMR020W/YMR095C/YMR108W/YMR110C/YMR169C/YMR170C/YMR217W/YMR246W/YMR250W/YMR300C/YMR303C/YMR323W/YNL009W/YNL117W/YNL202W/YNL247W/YNL274C/YNR001C/YNR016C/YOL052C/YOL058W/YOL097C/YOL126C/YOR040W/YOR100C/YOR108W/YOR184W/YOR221C/YOR236W/YOR317W/YOR335C/YOR347C/YOR374W/YOR375C/YOR388C/YOR391C/YOR393W/YPL160W/YPL231W/YPL273W/YPL280W/YPR001W/YPR033C/YPR069C/YPR081C/YPR118W	147
GO:0006082	GO:0006082	organic acid metabolic process	147/1263	432/6424	2.2432674824375e-13	2.90071741382879e-11	2.55387374923653e-11	YAL054C/YAL062W/YBL039C/YBL076C/YBL098W/YBR006W/YBR026C/YBR053C/YBR084W/YBR093C/YBR121C/YBR249C/YBR263W/YCL030C/YCL040W/YCL064C/YCR005C/YCR034W/YCR053W/YDL021W/YDL171C/YDR023W/YDR037W/YDR089W/YDR111C/YDR158W/YDR234W/YDR272W/YDR300C/YDR321W/YDR341C/YDR380W/YDR502C/YDR516C/YDR533C/YEL009C/YEL071W/YER024W/YER055C/YER073W/YER086W/YER091C/YFL022C/YFL030W/YFR053C/YFR055W/YGL009C/YGL010W/YGL055W/YGL062W/YGL148W/YGL184C/YGL202W/YGL205W/YGL245W/YGL253W/YGR019W/YGR061C/YGR087C/YGR094W/YGR124W/YGR155W/YGR254W/YGR256W/YGR264C/YGR286C/YHR019C/YHR020W/YHR025W/YHR112C/YHR137W/YHR208W/YIL078W/YIL094C/YIL101C/YIL160C/YJL052W/YJL088W/YJL130C/YJL198W/YJL200C/YJR016C/YJR078W/YJR148W/YKL015W/YKL029C/YKL085W/YKL182W/YKL218C/YKR009C/YLL062C/YLR142W/YLR153C/YLR180W/YLR345W/YLR355C/YLR372W/YLR438W/YML004C/YML042W/YML054C/YMR020W/YMR095C/YMR108W/YMR110C/YMR169C/YMR170C/YMR217W/YMR246W/YMR250W/YMR300C/YMR303C/YMR323W/YNL009W/YNL117W/YNL202W/YNL247W/YNL274C/YNR001C/YNR016C/YOL052C/YOL058W/YOL097C/YOL126C/YOR040W/YOR100C/YOR108W/YOR184W/YOR221C/YOR236W/YOR317W/YOR335C/YOR347C/YOR374W/YOR375C/YOR388C/YOR391C/YOR393W/YPL160W/YPL231W/YPL273W/YPL280W/YPR001W/YPR033C/YPR069C/YPR081C/YPR118W	147
GO:0009123	GO:0009123	nucleoside monophosphate metabolic process	34/1263	51/6424	2.94299220985099e-13	3.53369278911394e-11	3.11116319327105e-11	YAR015W/YBR242W/YBR252W/YDR020C/YDR226W/YDR399W/YDR408C/YDR454C/YGL101W/YGL234W/YGR061C/YHL011C/YHR128W/YHR144C/YHR216W/YJL130C/YJR105W/YKL181W/YKL216W/YLR359W/YLR420W/YLR432W/YML022W/YML056C/YML106W/YMR120C/YMR217W/YMR271C/YMR300C/YNL141W/YNL220W/YNL250W/YNR012W/YOR074C	34
GO:0009124	GO:0009124	nucleoside monophosphate biosynthetic process	29/1263	41/6424	1.67330408111482e-12	1.87521610690267e-10	1.65099336003328e-10	YAR015W/YBR252W/YDR020C/YDR399W/YDR408C/YGL234W/YGR061C/YHL011C/YHR128W/YHR144C/YHR216W/YJL130C/YJR105W/YKL181W/YKL216W/YLR359W/YLR420W/YLR432W/YML022W/YML056C/YML106W/YMR120C/YMR217W/YMR271C/YMR300C/YNL141W/YNL220W/YNR012W/YOR074C	29
GO:0000460	GO:0000460	maturation of 5.8S rRNA	48/1263	94/6424	7.01715981273357e-12	6.93873273247361e-10	6.10905677814452e-10	YBL004W/YCL059C/YCR047C/YCR057C/YDL031W/YDL148C/YDL153C/YDR450W/YDR500C/YFR001W/YGL078C/YGL120C/YGL171W/YGR103W/YGR158C/YGR214W/YGR251W/YHR081W/YHR088W/YJL010C/YJL050W/YJL109C/YJL136C/YJL177W/YKL014C/YKL099C/YKL180W/YKR057W/YKR081C/YLR048W/YLR129W/YLR185W/YLR186W/YLR293C/YML026C/YML093W/YMR049C/YMR229C/YNL002C/YNL308C/YNR054C/YOL077C/YOR001W/YOR004W/YOR272W/YOR310C/YPR016C/YPR112C	48
GO:0000466	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	48/1263	94/6424	7.01715981273357e-12	6.93873273247361e-10	6.10905677814452e-10	YBL004W/YCL059C/YCR047C/YCR057C/YDL031W/YDL148C/YDL153C/YDR450W/YDR500C/YFR001W/YGL078C/YGL120C/YGL171W/YGR103W/YGR158C/YGR214W/YGR251W/YHR081W/YHR088W/YJL010C/YJL050W/YJL109C/YJL136C/YJL177W/YKL014C/YKL099C/YKL180W/YKR057W/YKR081C/YLR048W/YLR129W/YLR185W/YLR186W/YLR293C/YML026C/YML093W/YMR049C/YMR229C/YNL002C/YNL308C/YNR054C/YOL077C/YOR001W/YOR004W/YOR272W/YOR310C/YPR016C/YPR112C	48
GO:0000479	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	36/1263	61/6424	1.23765928380103e-11	1.15583625337196e-09	1.01763096668084e-09	YBL004W/YCL059C/YCR047C/YCR057C/YDL060W/YDL148C/YDL153C/YDR450W/YDR500C/YFR001W/YGL078C/YGL171W/YGR214W/YGR251W/YHR021C/YJL010C/YJL109C/YJL136C/YJL177W/YKL099C/YKL180W/YKR057W/YLR048W/YLR129W/YLR185W/YLR186W/YML026C/YML093W/YMR229C/YNL308C/YNR054C/YOL077C/YOR004W/YOR310C/YPL217C/YPR112C	36
GO:0009161	GO:0009161	ribonucleoside monophosphate metabolic process	28/1263	41/6424	1.57618547267413e-11	1.3945093576659e-09	1.227765526083e-09	YAR015W/YDR020C/YDR226W/YDR399W/YDR408C/YDR454C/YGL234W/YGR061C/YHL011C/YHR128W/YHR216W/YJL130C/YJR105W/YKL181W/YKL216W/YLR359W/YLR420W/YLR432W/YML022W/YML056C/YML106W/YMR120C/YMR217W/YMR271C/YMR300C/YNL141W/YNL220W/YNR012W	28
GO:0000028	GO:0000028	ribosomal small subunit assembly	22/1263	28/6424	2.73518763005028e-11	2.29892520305726e-09	2.02403884623721e-09	YBR048W/YCR031C/YCR057C/YDR025W/YDR447C/YGR214W/YHR021C/YJR123W/YKL156W/YLR048W/YLR167W/YLR264W/YML024W/YMR229C/YMR230W/YNL302C/YNR054C/YOL040C/YOL121C/YOR167C/YOR293W/YPR112C	22
